"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP1";"TestPoint_Pad_D6.0mm_spring";1;"Flashlight_+";;;
2;"U1";"Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm";1;"BQ25185DLHR";;;
3;"D3";"DIO_PMEG6010CEJF";1;"60V, 1A cont.";;;
4;"D1,D2";"LED_0603_1608Metric";2;"LED";;;
5;"C2";"C_0402_1005Metric";1;"22µF";;;
6;"C1,C3";"C_0402_1005Metric";2;"4.7µF";;;
7;"R4,R5,R3";"R_0402_1005Metric";3;"1kΩ";;;
8;"R6";"R_0402_1005Metric";1;"18kΩ";;;
9;"R7";"R_0402_1005Metric";1;"390Ω";;;
10;"F1";"0402L100SLKR";1;"1A hold, 2A trip";;;
11;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
12;"R8";"R_0402_1005Metric";1;"10kΩ";;;
